Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Type,year,avg_payment,avg_charge,total_srvcs,total_benes,charge_to_payment_ratio
AA,Family Practice,2022,27.28,59.2,1421.0,799,2.17
AE,Cardiology,2023,102.24,256.1,6315.0,4382,2.5
AE,Family Practice,2022,69.96,585.71,1566.0,1464,8.37
AE,Family Practice,2023,56.39,370.38,1471.0,1370,6.57
AE,Internal Medicine,2022,60.0,134.37,3483.0,2163,2.24
AE,Internal Medicine,2023,88.87,167.25,1728.0,1299,1.88
AK,Cardiology,2022,121.11,919.48,75950.0,43814,7.59
AK,Cardiology,2023,110.63,881.64,118738.2,48862,7.97
AK,Family Practice,2022,61.96,255.34,195238.0,131532,4.12
AK,Family Practice,2023,58.53,254.02,192485.0,127964,4.34
AK,Internal Medicine,2022,84.29,380.03,97479.0,49266,4.51
AK,Internal Medicine,2023,81.61,374.05,104596.0,48649,4.58
AL,Cardiology,2022,92.22,313.39,878847.5,540064,3.4
AL,Cardiology,2023,91.45,315.4,888305.0,513522,3.45
AL,Family Practice,2022,44.68,113.99,2268686.6,1124623,2.55
AL,Family Practice,2023,44.44,120.85,2117687.5,1036993,2.72
AL,Internal Medicine,2022,54.5,144.4,2360107.0,1159231,2.65
AL,Internal Medicine,2023,54.57,152.74,2290312.0,1086284,2.8
AP,Family Practice,2022,68.9,196.15,755.0,674,2.85
AP,Family Practice,2023,82.32,232.65,719.0,589,2.83
AP,Internal Medicine,2022,73.09,189.94,3309.0,1896,2.6
AP,Internal Medicine,2023,82.78,210.1,3522.0,2174,2.54
AR,Cardiology,2022,82.74,307.81,629489.0,449896,3.72
AR,Cardiology,2023,73.04,288.61,575519.0,413653,3.95
AR,Family Practice,2022,41.54,129.61,2375356.2,1200340,3.12
AR,Family Practice,2023,43.4,134.6,2142099.0,1083692,3.1
AR,Internal Medicine,2022,54.59,167.55,1876470.5,671483,3.07
AR,Internal Medicine,2023,55.86,165.76,1839941.0,607559,2.97
AZ,Cardiology,2022,108.89,403.47,1274882.0,803099,3.71
AZ,Cardiology,2023,105.16,405.55,1296487.0,807215,3.86
AZ,Family Practice,2022,56.58,150.59,2073548.0,1174505,2.66
AZ,Family Practice,2023,57.58,150.47,2110510.3,1147599,2.61
AZ,Internal Medicine,2022,68.08,206.02,3018719.0,1327504,3.03
AZ,Internal Medicine,2023,70.15,218.64,2916830.0,1291510,3.12
CA,Cardiology,2022,113.05,437.74,6928279.3,3667076,3.87
CA,Cardiology,2023,110.82,441.34,7466667.8,3841248,3.98
CA,Family Practice,2022,66.0,196.91,9428923.3,3672309,2.98
CA,Family Practice,2023,68.35,209.54,10004513.9,3648250,3.07
CA,Internal Medicine,2022,77.08,253.33,14249267.1,5843642,3.29
CA,Internal Medicine,2023,78.57,263.97,15053123.6,5776785,3.36
CO,Cardiology,2022,69.49,266.43,370417.0,286047,3.83
CO,Cardiology,2023,68.35,270.54,366521.0,275969,3.96
CO,Family Practice,2022,56.41,166.29,1046312.0,626058,2.95
CO,Family Practice,2023,62.05,188.49,1043846.0,607514,3.04
CO,Internal Medicine,2022,70.99,233.0,1194348.0,555682,3.28
CO,Internal Medicine,2023,73.26,240.04,1048297.5,530141,3.28
CT,Cardiology,2022,79.2,357.58,705120.0,497181,4.52
CT,Cardiology,2023,79.65,374.32,706191.4,489770,4.7
CT,Family Practice,2022,62.47,165.93,343666.0,233641,2.66
CT,Family Practice,2023,65.9,171.47,323758.0,218710,2.6
CT,Internal Medicine,2022,69.38,200.71,1316462.0,836423,2.89
CT,Internal Medicine,2023,72.88,209.25,1217610.0,761944,2.87
DC,Cardiology,2022,116.25,386.61,145898.0,105752,3.33
DC,Cardiology,2023,120.05,422.27,136292.0,100514,3.52
DC,Family Practice,2022,63.89,181.22,60880.0,33266,2.84
DC,Family Practice,2023,71.44,209.28,53942.0,28548,2.93
DC,Internal Medicine,2022,81.95,253.01,488555.0,207213,3.09
DC,Internal Medicine,2023,85.42,254.7,458319.0,201220,2.98
DE,Cardiology,2022,104.65,357.68,399251.6,266910,3.42
DE,Cardiology,2023,104.32,399.91,384991.0,255411,3.83
DE,Family Practice,2022,67.07,156.1,419712.0,247071,2.33
DE,Family Practice,2023,69.48,172.08,427153.0,242570,2.48
DE,Internal Medicine,2022,79.38,212.57,747633.0,236973,2.68
DE,Internal Medicine,2023,78.92,223.17,977518.0,248121,2.83
FL,Cardiology,2022,122.01,396.19,5680975.8,3240318,3.25
FL,Cardiology,2023,117.57,396.97,5661722.8,3263264,3.38
