Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Type,avg_charge_2022,avg_charge_2023,avg_payment_2022,avg_payment_2023,total_srvcs_2022,total_srvcs_2023,payment_change_pct,volume_change_pct
AA,Family Practice,59.2,,27.28,,1421.0,,,
AE,Cardiology,,256.1,,102.24,,6315.0,,
AE,Family Practice,585.71,370.38,69.96,56.39,1566.0,1471.0,-19.4,-6.07
AE,Internal Medicine,134.37,167.25,60.0,88.87,3483.0,1728.0,48.12,-50.39
AK,Cardiology,919.48,881.64,121.11,110.63,75950.0,118738.2,-8.65,56.34
AK,Family Practice,255.34,254.02,61.96,58.53,195238.0,192485.0,-5.54,-1.41
AK,Internal Medicine,380.03,374.05,84.29,81.61,97479.0,104596.0,-3.18,7.3
AL,Cardiology,313.39,315.4,92.22,91.45,878847.5,888305.0,-0.83,1.08
AL,Family Practice,113.99,120.85,44.68,44.44,2268686.6,2117687.5,-0.54,-6.66
AL,Internal Medicine,144.4,152.74,54.5,54.57,2360107.0,2290312.0,0.13,-2.96
AP,Family Practice,196.15,232.65,68.9,82.32,755.0,719.0,19.48,-4.77
AP,Internal Medicine,189.94,210.1,73.09,82.78,3309.0,3522.0,13.26,6.44
AR,Cardiology,307.81,288.61,82.74,73.04,629489.0,575519.0,-11.72,-8.57
AR,Family Practice,129.61,134.6,41.54,43.4,2375356.2,2142099.0,4.48,-9.82
AR,Internal Medicine,167.55,165.76,54.59,55.86,1876470.5,1839941.0,2.33,-1.95
AZ,Cardiology,403.47,405.55,108.89,105.16,1274882.0,1296487.0,-3.43,1.69
AZ,Family Practice,150.59,150.47,56.58,57.58,2073548.0,2110510.3,1.77,1.78
AZ,Internal Medicine,206.02,218.64,68.08,70.15,3018719.0,2916830.0,3.04,-3.38
CA,Cardiology,437.74,441.34,113.05,110.82,6928279.3,7466667.8,-1.97,7.77
CA,Family Practice,196.91,209.54,66.0,68.35,9428923.3,10004513.9,3.56,6.1
CA,Internal Medicine,253.33,263.97,77.08,78.57,14249267.1,15053123.6,1.93,5.64
CO,Cardiology,266.43,270.54,69.49,68.35,370417.0,366521.0,-1.64,-1.05
CO,Family Practice,166.29,188.49,56.41,62.05,1046312.0,1043846.0,10.0,-0.24
CO,Internal Medicine,233.0,240.04,70.99,73.26,1194348.0,1048297.5,3.2,-12.23
CT,Cardiology,357.58,374.32,79.2,79.65,705120.0,706191.4,0.57,0.15
CT,Family Practice,165.93,171.47,62.47,65.9,343666.0,323758.0,5.49,-5.79
CT,Internal Medicine,200.71,209.25,69.38,72.88,1316462.0,1217610.0,5.04,-7.51
DC,Cardiology,386.61,422.27,116.25,120.05,145898.0,136292.0,3.27,-6.58
DC,Family Practice,181.22,209.28,63.89,71.44,60880.0,53942.0,11.82,-11.4
DC,Internal Medicine,253.01,254.7,81.95,85.42,488555.0,458319.0,4.23,-6.19
DE,Cardiology,357.68,399.91,104.65,104.32,399251.6,384991.0,-0.32,-3.57
DE,Family Practice,156.1,172.08,67.07,69.48,419712.0,427153.0,3.59,1.77
DE,Internal Medicine,212.57,223.17,79.38,78.92,747633.0,977518.0,-0.58,30.75
FL,Cardiology,396.19,396.97,122.01,117.57,5680975.8,5661722.8,-3.64,-0.34
FL,Family Practice,174.1,178.42,58.45,59.88,8083722.5,7922918.0,2.45,-1.99
FL,Internal Medicine,212.94,212.4,68.97,68.73,13736402.0,14282798.0,-0.35,3.98
GA,Cardiology,363.51,385.05,77.42,77.94,1597678.8,1547392.3,0.67,-3.15
GA,Family Practice,158.5,168.1,49.76,50.99,3255545.0,3340112.0,2.47,2.6
GA,Internal Medicine,215.04,221.67,59.92,60.74,5605680.3,5537498.5,1.37,-1.22
GU,Cardiology,241.0,241.0,53.7,53.99,87.0,111.0,0.54,27.59
GU,Family Practice,92.68,93.35,48.97,48.37,13971.0,18858.0,-1.23,34.98
GU,Internal Medicine,191.18,192.22,62.92,64.91,40265.0,38259.0,3.16,-4.98
HI,Cardiology,268.97,257.23,73.15,69.99,93524.0,109834.0,-4.32,17.44
HI,Family Practice,199.77,205.88,64.88,65.71,133795.0,124942.0,1.28,-6.62
HI,Internal Medicine,208.59,206.54,73.43,72.4,254878.5,252217.5,-1.4,-1.04
IA,Cardiology,292.43,297.85,65.61,63.33,363574.0,339301.0,-3.48,-6.68
IA,Family Practice,139.15,146.27,49.16,52.39,1651757.5,1575188.0,6.57,-4.64
IA,Internal Medicine,178.97,173.45,55.53,55.59,724052.3,754624.0,0.11,4.22
ID,Cardiology,223.46,215.84,62.12,56.91,92700.0,100700.0,-8.39,8.63
ID,Family Practice,150.88,161.95,54.64,57.9,357014.5,359053.5,5.97,0.57
ID,Internal Medicine,227.95,241.54,68.55,68.71,159680.0,167828.0,0.23,5.1
IL,Cardiology,363.58,377.01,79.18,77.02,2076279.6,2049397.7,-2.73,-1.29
IL,Family Practice,179.68,192.85,64.74,68.19,3413354.1,3493191.3,5.33,2.34
IL,Internal Medicine,220.75,229.1,72.6,74.27,6124540.0,5574553.0,2.3,-8.98
IN,Cardiology,272.41,278.44,65.93,64.62,1021361.0,967012.0,-1.99,-5.32
IN,Family Practice,140.11,151.29,56.49,61.34,2109495.7,2000475.0,8.59,-5.17
IN,Internal Medicine,191.69,200.34,66.3,69.02,2177555.0,1919365.0,4.1,-11.86
KS,Cardiology,357.97,333.86,77.95,73.79,608920.0,618165.3,-5.34,1.52
KS,Family Practice,140.41,144.75,47.12,49.43,1380514.5,1342675.0,4.9,-2.74
KS,Internal Medicine,226.65,233.97,60.95,62.54,839707.1,905835.0,2.61,7.88
KY,Cardiology,219.69,218.61,63.13,61.33,589157.0,567341.0,-2.85,-3.7
KY,Family Practice,157.42,166.42,51.43,53.87,1423850.6,1167221.0,4.74,-18.02
KY,Internal Medicine,195.87,202.81,61.97,63.33,1865591.0,1925853.0,2.19,3.23
LA,Cardiology,389.4,379.07,90.23,87.96,871405.5,815456.0,-2.52,-6.42
LA,Family Practice,168.12,174.26,52.22,52.23,1552456.6,1435818.9,0.02,-7.51
LA,Internal Medicine,225.35,224.16,66.04,66.17,1881904.0,1700700.5,0.2,-9.63
MA,Cardiology,363.03,368.57,80.98,77.79,1955984.0,1947419.0,-3.94,-0.44
MA,Family Practice,176.7,198.91,56.69,59.95,1168035.5,1103656.5,5.75,-5.51
MA,Internal Medicine,224.68,240.46,63.87,66.29,4010116.0,3801909.0,3.79,-5.19
MD,Cardiology,357.55,357.54,107.26,103.4,1598763.9,1640341.7,-3.6,2.6
MD,Family Practice,158.95,169.96,61.77,63.17,1527405.0,1415830.0,2.27,-7.3
MD,Internal Medicine,214.9,213.93,74.46,74.6,4277062.2,4442294.0,0.19,3.86
ME,Cardiology,238.75,238.07,55.07,53.85,135366.0,125114.0,-2.22,-7.57
ME,Family Practice,148.38,163.69,48.38,51.01,208617.0,194473.2,5.44,-6.78
ME,Internal Medicine,198.19,207.83,57.88,58.47,296880.0,310839.0,1.02,4.7
